neighborhood,property_type,bedrooms,bathrooms,sqft,lot_size,year_built,age,has_garage,has_basement,has_renovation,distance_to_downtown_km,walk_score,latitude,longitude,price
West End,Townhouse,3,2,1447,1945,1933,92,1,0,0,0.5,82,49.2928,-123.1359,1024000
Hastings-Sunrise,Condo,2,1,573,0,2004,21,0,0,1,6.9,44,49.2809,-123.0329,429000
Dunbar,Townhouse,3,2,1927,2305,1948,77,0,0,0,9.9,49,49.241,-123.189,1048000
Hastings-Sunrise,Townhouse,3,2,1776,2091,1927,98,0,0,0,7.2,54,49.2833,-123.0474,694000
Kitsilano,Condo,2,1,838,0,1943,82,1,1,0,5.8,54,49.2626,-123.1769,623000
West End,Condo,2,1,895,0,2015,10,0,0,0,0.8,79,49.2908,-123.1343,710000
Hastings-Sunrise,Townhouse,3,1,1617,2248,2014,11,0,0,1,7.0,48,49.2853,-123.0546,827000
Strathcona,Townhouse,3,2,1533,2796,1940,85,1,0,0,3.1,81,49.2841,-123.0877,678000
Gastown,Condo,1,1,678,0,2005,20,0,0,0,1.6,77,49.28,-123.1066,610000
Strathcona,House,5,2,3483,5711,1980,45,0,0,1,4.1,77,49.272,-123.0882,1473000
Point Grey,Townhouse,3,1,1493,1549,1983,42,0,0,0,9.2,49,49.2634,-123.2056,1398000
Marpole,Condo,2,1,580,0,2014,11,0,0,0,7.6,45,49.2139,-123.1273,402000
Kerrisdale,House,4,2,2869,5011,1990,35,1,0,1,7.3,65,49.2433,-123.15,2618000
Mount Pleasant,Condo,1,1,1109,0,1968,57,0,0,0,3.4,77,49.2505,-123.0992,618000
Grandview,Condo,2,1,786,0,2011,14,0,0,0,5.0,56,49.2811,-123.0671,654000
Shaughnessy,Condo,2,1,1126,0,2009,16,0,0,0,6.7,57,49.2446,-123.1377,932000
Hastings-Sunrise,Townhouse,3,1,1392,2065,1940,85,0,0,1,4.5,69,49.2666,-123.0448,706000
Dunbar,Townhouse,3,2,1300,2552,1943,82,0,1,1,9.7,33,49.2437,-123.1967,1032000
Marpole,House,3,2,3860,4729,1969,56,1,1,0,10.7,37,49.2032,-123.1316,1456000
West End,Townhouse,3,1,1266,2217,1938,87,0,0,0,2.1,74,49.2873,-123.137,1065000
Kitsilano,Condo,1,1,808,0,1962,63,1,0,0,4.3,67,49.2617,-123.1683,641000
Mount Pleasant,Condo,1,1,818,0,1970,55,0,0,1,6.0,71,49.2588,-123.1013,595000
Grandview,House,5,2,2824,6783,2005,20,1,1,0,4.2,65,49.2754,-123.0668,1677000
Grandview,House,3,3,3746,5693,2018,7,1,0,0,5.1,74,49.2658,-123.069,1690000
Fairview,Condo,1,1,1174,0,1934,91,0,0,1,1.4,90,49.2682,-123.1311,786000
Kerrisdale,Townhouse,2,2,2200,1260,1927,98,0,0,1,8.7,63,49.2331,-123.1489,1174000
Point Grey,Townhouse,2,1,1710,1781,1947,78,0,0,1,8.0,50,49.275,-123.1989,1255000
Mount Pleasant,House,4,2,3476,3553,1979,46,1,1,0,3.7,54,49.2685,-123.1011,1789000
Point Grey,Condo,2,1,982,0,1954,71,1,0,0,8.1,55,49.2584,-123.1938,986000
West End,Townhouse,3,1,1453,1766,1947,78,0,0,0,1.8,79,49.2843,-123.1318,927000
Shaughnessy,House,5,2,3844,7691,1995,30,1,0,1,4.5,69,49.2411,-123.1427,3247000
Oakridge,Condo,2,1,698,0,1938,87,0,0,0,6.2,57,49.2238,-123.1142,642000
Sunset,Townhouse,2,1,1900,2330,1938,87,0,0,0,11.1,30,49.2136,-123.0935,656000
Renfrew,House,3,2,3592,3322,2011,14,0,0,0,11.5,31,49.2524,-123.0372,1218000
West End,House,3,2,4312,5626,1928,97,1,0,0,1.4,88,49.2769,-123.1374,2507000
Riley Park,Condo,1,1,1135,0,2012,13,1,0,0,6.1,64,49.2399,-123.1001,722000
Dunbar,Condo,1,1,875,0,2024,1,0,0,1,7.6,46,49.2459,-123.1872,773000
Gastown,House,4,2,2194,6112,1933,92,1,1,1,0.5,85,49.2884,-123.1109,1781000
Grandview,House,4,2,2757,7091,1940,85,1,1,0,6.0,75,49.2715,-123.0776,1552000
Riley Park,Condo,2,1,988,0,1931,94,0,0,0,6.4,64,49.2481,-123.108,598000
Kitsilano,Condo,2,1,970,0,1959,66,0,0,1,4.8,70,49.2741,-123.1622,755000
Mount Pleasant,Townhouse,2,2,1257,1408,1958,67,0,0,1,4.0,60,49.2618,-123.102,890000
Kerrisdale,Condo,1,1,794,0,2004,21,0,0,0,8.6,55,49.2293,-123.1568,710000
Fairview,Condo,2,1,590,0,1951,74,0,0,0,3.2,59,49.2548,-123.1231,559000
Dunbar,Condo,2,1,665,0,1956,69,0,1,0,9.0,43,49.2373,-123.1853,732000
Kerrisdale,Condo,1,1,1028,0,1957,68,0,0,0,9.8,53,49.2331,-123.1539,859000
Marpole,Condo,1,1,505,0,1925,100,0,0,1,7.2,53,49.2122,-123.1245,417000
Fairview,Townhouse,2,1,1567,1893,1941,84,0,0,0,3.2,86,49.2629,-123.1229,969000
Hastings-Sunrise,Townhouse,2,1,1609,2419,1940,85,0,0,1,5.4,54,49.2914,-123.0486,722000
Renfrew,House,3,2,2541,4629,1943,82,1,1,0,11.1,34,49.2444,-123.0418,1071000
Mount Pleasant,Condo,1,1,795,0,1930,95,0,0,0,3.9,66,49.2575,-123.1009,567000
Killarney,Townhouse,2,1,1165,1565,2007,18,0,0,0,12.0,40,49.2245,-123.0402,535000
Sunset,Condo,1,1,1056,0,1967,58,0,0,1,9.2,32,49.2191,-123.0974,488000
Kerrisdale,Condo,1,1,1135,0,1941,84,0,0,0,9.3,40,49.2387,-123.1587,713000
Kerrisdale,House,3,3,3793,4473,1926,99,1,1,0,9.0,46,49.2299,-123.1544,2175000
Fairview,Condo,2,1,535,0,2021,4,0,0,0,1.1,98,49.266,-123.125,778000
Grandview,Condo,2,1,892,0,1985,40,1,0,1,3.5,66,49.2791,-123.071,592000
Yaletown,Condo,1,1,574,0,1932,93,0,0,0,1.2,59,49.283,-123.1148,647000
Killarney,Condo,2,1,1116,0,1972,53,0,0,0,11.9,33,49.2249,-123.0538,418000
Oakridge,Townhouse,3,2,1310,1924,1976,49,1,0,1,7.5,60,49.2217,-123.1124,995000
Renfrew,Townhouse,2,1,1920,2229,2001,24,0,0,0,10.2,42,49.2533,-123.0459,656000
Kitsilano,Townhouse,2,2,1347,1657,1932,93,1,0,1,6.1,62,49.2671,-123.1767,1059000
Sunset,Condo,2,1,924,0,2022,3,0,0,0,8.1,45,49.2205,-123.0927,498000
Fairview,House,3,2,4244,4855,1957,68,1,0,1,2.2,86,49.2603,-123.1311,2382000
Yaletown,House,5,3,2918,5895,1940,85,1,1,1,3.0,75,49.2777,-123.1236,2085000
Oakridge,House,4,3,3489,7744,1954,71,1,1,0,7.3,52,49.2287,-123.1182,1985000
Coal Harbour,Townhouse,2,2,1340,1436,1995,30,1,1,0,0.5,85,49.2959,-123.1267,1426000
Yaletown,Condo,2,1,1345,0,2019,6,0,0,0,2.8,86,49.2662,-123.1171,991000
Marpole,Condo,2,1,995,0,1948,77,1,0,0,9.2,38,49.2137,-123.1287,519000
Fairview,House,4,3,3712,7235,1964,61,1,0,0,3.0,83,49.2632,-123.1269,2118000
Shaughnessy,House,4,3,3453,5486,2024,1,1,1,0,6.0,47,49.2531,-123.137,3106000
West End,Condo,2,1,882,0,1993,32,1,0,0,2.9,75,49.2875,-123.1306,806000
Grandview,Townhouse,2,2,1471,2929,1935,90,0,0,0,5.8,61,49.2739,-123.0774,814000
Strathcona,Condo,1,1,729,0,1936,89,0,0,0,4.7,61,49.287,-123.088,375000
Shaughnessy,House,5,2,3529,6015,1956,69,1,1,0,6.2,64,49.2395,-123.1424,2384000
Mount Pleasant,Condo,2,1,888,0,2012,13,0,0,1,3.1,68,49.2553,-123.109,647000
Kerrisdale,House,5,2,3678,7962,2012,13,1,1,0,7.1,48,49.2254,-123.1558,2424000
Fairview,House,3,2,3447,4124,1987,38,1,1,0,1.9,93,49.2595,-123.1357,2054000
Shaughnessy,Townhouse,3,2,2026,2681,2003,22,0,0,0,5.3,59,49.2412,-123.1348,1471000
Dunbar,House,5,2,2540,7133,1982,43,1,0,0,9.3,35,49.2495,-123.1817,2071000
Killarney,Condo,1,1,1151,0,1960,65,1,0,0,10.6,31,49.2199,-123.0487,405000
Sunset,House,4,2,3971,7242,2006,19,1,0,0,9.9,33,49.2212,-123.0961,1424000
Shaughnessy,Townhouse,2,2,1420,2263,1935,90,1,0,0,7.2,57,49.2458,-123.1365,1258000
Hastings-Sunrise,Condo,1,1,547,0,1944,81,1,0,0,7.5,45,49.2808,-123.0418,418000
Mount Pleasant,Condo,2,1,825,0,1953,72,0,0,1,4.9,69,49.2643,-123.0926,681000
Kitsilano,Condo,2,1,1032,0,1987,38,0,1,0,5.1,64,49.2719,-123.173,856000
Sunset,Condo,1,1,1357,0,1925,100,1,0,0,9.1,45,49.2283,-123.0845,523000
Mount Pleasant,Townhouse,2,1,1405,2324,1986,39,0,0,0,4.7,61,49.2559,-123.1032,867000
Riley Park,Condo,1,1,1164,0,1988,37,1,0,1,5.7,76,49.2418,-123.1028,640000
Shaughnessy,Condo,1,1,1254,0,1998,27,1,0,0,6.9,58,49.245,-123.1372,1049000
Mount Pleasant,Townhouse,2,2,2054,2468,1960,65,1,0,1,3.4,76,49.2657,-123.0942,1332000
Hastings-Sunrise,Condo,2,1,753,0,1948,77,0,0,0,6.9,52,49.2816,-123.0484,509000
Mount Pleasant,Condo,2,1,1117,0,2016,9,0,0,0,2.8,93,49.2548,-123.0938,718000
Marpole,Condo,1,1,1072,0,1928,97,0,0,0,8.5,44,49.2067,-123.1297,486000
Shaughnessy,House,3,2,4330,6188,1961,64,0,1,0,7.2,46,49.2453,-123.1437,2247000
Point Grey,House,5,3,2967,5467,1982,43,1,1,0,9.5,49,49.2622,-123.1998,2583000
Hastings-Sunrise,Condo,1,1,1179,0,1979,46,0,0,0,9.1,42,49.2743,-123.0405,535000
Coal Harbour,Condo,2,1,651,0,1998,27,1,0,1,1.2,80,49.2911,-123.1326,945000
Renfrew,Condo,2,1,763,0,1922,103,0,0,1,9.1,42,49.256,-123.0413,415000
Marpole,Townhouse,2,1,1568,2196,1944,81,0,0,0,9.4,37,49.2053,-123.1358,716000
Hastings-Sunrise,House,3,2,2994,5766,1954,71,1,1,0,5.9,57,49.2692,-123.0493,1443000
Fairview,House,3,2,3524,4147,1942,83,1,0,0,1.9,92,49.2659,-123.1382,1919000
Grandview,Condo,2,1,858,0,1929,96,0,0,1,5.6,56,49.2725,-123.0733,503000
Sunset,Condo,2,1,951,0,1928,97,0,0,0,9.5,51,49.223,-123.0985,499000
Sunset,Condo,1,1,1055,0,1996,29,0,0,0,11.3,36,49.2179,-123.0918,445000
Grandview,Condo,2,1,450,0,1981,44,0,0,0,5.4,79,49.2695,-123.0658,526000
Fairview,Condo,1,1,1177,0,1960,65,0,0,0,2.7,65,49.26,-123.1293,675000
Gastown,House,4,3,3132,3908,2023,2,0,1,0,0.5,85,49.2815,-123.1013,2003000
Hastings-Sunrise,Condo,1,1,960,0,1959,66,1,0,0,6.4,65,49.2843,-123.0497,527000
Grandview,Condo,1,1,1067,0,1998,27,1,0,0,5.8,70,49.2817,-123.0756,718000
Killarney,House,3,2,4097,3849,1928,97,1,1,1,13.5,30,49.2323,-123.0468,1128000
Hastings-Sunrise,Condo,2,1,736,0,1980,45,0,0,1,7.8,42,49.2791,-123.051,449000
Riley Park,Condo,1,1,709,0,2009,16,0,0,0,7.4,66,49.2506,-123.0984,636000
Kitsilano,Condo,2,1,1066,0,1932,93,0,0,1,4.7,71,49.2697,-123.1681,823000
Killarney,Townhouse,3,2,1476,2035,1941,84,1,0,1,12.3,30,49.2188,-123.0392,676000
Oakridge,Townhouse,3,1,1700,1648,1973,52,0,0,0,6.8,60,49.2259,-123.119,1072000
Shaughnessy,Condo,1,1,1213,0,1994,31,1,0,1,5.2,65,49.2391,-123.139,1174000
Renfrew,House,5,3,1967,4952,1987,38,0,0,0,8.5,40,49.2545,-123.05,1338000
Renfrew,Townhouse,2,2,1158,2992,1931,94,0,0,0,10.2,39,49.2567,-123.0448,610000
Renfrew,House,3,2,3901,6243,1993,32,1,0,0,11.1,30,49.2525,-123.0457,1263000
Grandview,Townhouse,3,2,2066,2708,1939,86,0,0,0,6.0,51,49.2667,-123.0673,864000
Dunbar,House,5,3,3281,6513,1948,77,1,1,0,8.5,38,49.2521,-123.191,2213000
Fairview,Townhouse,3,1,1675,2952,1927,98,0,0,1,3.6,65,49.2722,-123.134,899000
Hastings-Sunrise,Townhouse,2,2,1400,1579,1953,72,0,0,0,6.5,56,49.2827,-123.0439,606000
Gastown,House,5,3,3516,4098,1975,50,1,1,0,0.5,83,49.286,-123.1108,2040000
Strathcona,Condo,1,1,1127,0,1981,44,1,0,0,4.9,68,49.2775,-123.0959,437000
Grandview,Condo,1,1,1142,0,1972,53,0,0,0,4.6,81,49.2774,-123.0682,587000
Shaughnessy,House,5,2,4173,7702,2009,16,1,1,0,6.2,32,49.2409,-123.1318,2673000
Kerrisdale,Townhouse,3,1,1385,2124,2023,2,1,0,1,10.2,54,49.2441,-123.1568,1549000
Dunbar,Townhouse,3,1,1336,1436,2011,14,1,0,0,10.3,45,49.2559,-123.1776,1110000
Gastown,Condo,2,1,1214,0,1922,103,0,0,0,0.6,72,49.2837,-123.1163,735000
Killarney,House,4,3,3511,6751,1973,52,1,1,1,14.1,30,49.2285,-123.0441,1251000
Shaughnessy,Townhouse,2,1,2077,1478,1921,104,0,0,0,5.6,60,49.2419,-123.1277,1503000
Renfrew,House,3,3,3245,6075,1992,33,1,0,1,7.9,39,49.2481,-123.0395,1466000
Shaughnessy,Condo,1,1,984,0,1991,34,0,0,0,4.9,80,49.2444,-123.1441,1055000
Gastown,Townhouse,3,2,1629,2595,2018,7,0,0,1,2.4,87,49.2775,-123.1053,1289000
Mount Pleasant,Condo,1,1,1003,0,2009,16,0,0,0,4.5,71,49.2579,-123.1107,784000
Sunset,Condo,1,1,823,0,1947,78,1,0,0,8.2,54,49.2246,-123.0977,437000
Oakridge,Condo,1,1,533,0,1992,33,0,0,0,6.5,49,49.2307,-123.1192,650000
Killarney,Townhouse,3,1,1411,1992,1985,40,1,0,0,12.5,30,49.2247,-123.0543,728000
Oakridge,Condo,2,1,1198,0,1924,101,0,1,1,8.3,48,49.2355,-123.1169,775000
Gastown,Condo,1,1,1118,0,1972,53,0,0,0,0.5,99,49.2834,-123.1091,677000
Riley Park,House,4,2,1972,7691,1973,52,1,0,1,6.5,51,49.2441,-123.1043,1604000
Gastown,Townhouse,2,1,1724,2815,1998,27,0,0,0,0.5,96,49.2776,-123.1112,960000
Grandview,Townhouse,3,2,1639,1528,1991,34,0,0,0,6.0,45,49.276,-123.0678,812000
Mount Pleasant,House,3,3,2375,6282,1937,88,1,0,0,3.7,65,49.2698,-123.1007,1546000
Shaughnessy,Condo,1,1,634,0,1954,71,0,0,0,6.5,45,49.2407,-123.1384,871000
Dunbar,Condo,2,1,506,0,1998,27,0,0,1,9.7,31,49.2498,-123.1819,662000
Gastown,Condo,1,1,716,0,1985,40,0,0,0,0.5,98,49.2903,-123.1108,660000
Strathcona,House,3,2,2362,7467,1942,83,0,1,0,1.3,67,49.2771,-123.0855,1122000
Strathcona,House,4,3,3487,4076,1982,43,1,1,0,3.1,73,49.2737,-123.0806,1469000
Coal Harbour,Condo,1,1,1244,0,1930,95,0,0,0,0.6,85,49.2822,-123.1261,859000
